occ,y4_hhid,lvstckcat,lf03_01,lf03_02_1,lf03_02_2,lf03_02_3,lf03_02_4,lf03_03,lf03_04,lf03_05_1,lf03_05_2,lf03_05_3,lf03_05_4,lf03_06,lf03_07,lf03_08,lf03_09,lf03_10,lf03_11,lf03_12,lf03_13,lf03_14
5,1077-001,5,2,,,,,,,,,,,,,,,,,,,
6,1077-001,6,2,,,,,,,,,,,,,,,,,,,
1,1078-001,1,1,2,,,,1,2,5,,,,3,,1,2,1,4,1,4,27500
2,1078-001,2,2,,,,,,,,,,,,,,,,,,,
3,1078-001,3,2,,,,,,,,,,,,,,,,,,,
4,1078-001,4,1,10,,,,1,2,10,,,,3,,,,,,3,,0
5,1078-001,5,2,,,,,,,,,,,,,,,,,,,
6,1078-001,6,1,22,,,,3,,,,,,,,,,,,,,
1,1079-001,1,1,5,,,,3,,,,,,1,1,1,2,1,1,1,1,22500
2,1079-001,2,1,23,,,,1,2,4,,,,1,1,1,2,3,,1,1,6000
3,1079-001,3,2,,,,,,,,,,,,,,,,,,,
4,1079-001,4,1,22,,,,3,,,,,,3,,,,,,3,,0
5,1079-001,5,2,,,,,,,,,,,,,,,,,,,
6,1079-001,6,1,19,,,,1,2,6,,,,,,,,,,,,
1,1080-001,1,2,,,,,,,,,,,,,,,,,,,
2,1080-001,2,2,,,,,,,,,,,,,,,,,,,
3,1080-001,3,2,,,,,,,,,,,,,,,,,,,
4,1080-001,4,1,10,,,,3,,,,,,3,,,,,,3,,0
5,1080-001,5,2,,,,,,,,,,,,,,,,,,,
6,1080-001,6,1,22,,,,1,1,6,,,,,,,,,,,,
1,1081-001,1,1,7,,,,1,1,5,,,,1,1,1,2,3,,2,1,12000
2,1081-001,2,1,4,,,,1,1,4,,,,1,1,3,,3,,3,,1800
3,1081-001,3,2,,,,,,,,,,,,,,,,,,,
4,1081-001,4,1,10,,,,1,4,10,,,,3,,,,,,2,4,2000
5,1081-001,5,2,,,,,,,,,,,,,,,,,,,
6,1081-001,6,1,22,,,,1,1,6,,,,,,,,,,,,
1,1082-001,,,,,,,,,,,,,,,,,,,,,
1,1083-001,1,1,5,,,,3,,,,,,1,2,1,2,1,2,1,2,18000
2,1083-001,2,1,22,,,,3,,,,,,1,2,1,2,3,,3,,8000
3,1083-001,3,2,,,,,,,,,,,,,,,,,,,
4,1083-001,4,1,22,,,,3,,,,,,3,,,,,,3,,0
5,1083-001,5,2,,,,,,,,,,,,,,,,,,,
6,1083-001,6,1,22,,,,2,2,6,,,,,,,,,,,,
1,1095-001,1,2,,,,,,,,,,,,,,,,,,,
2,1095-001,2,1,22,,,,3,,,,,,3,,1,2,3,,1,1,20000
3,1095-001,3,2,,,,,,,,,,,,,,,,,,,
4,1095-001,4,1,11,,,,3,,,,,,3,,,,,,3,,0
5,1095-001,5,1,,,,,,,,,,,,,,,,,,,
6,1095-001,6,2,,,,,,,,,,,,,,,,,,,
1,1096-001,1,1,5,,,,1,2,5,,,,1,4,1,2,3,,1,4,24000
2,1096-001,2,1,4,3,,,1,2,3,,,,1,4,1,2,3,,1,4,53300
3,1096-001,3,2,,,,,,,,,,,,,,,,,,,
4,1096-001,4,2,,,,,,,,,,,,,,,,,,,
5,1096-001,5,1,,,,,,,,,,,,,,,,,,,
6,1096-001,6,1,22,,,,1,2,6,,,,,,,,,,,,
1,1097-001,1,1,22,,,,3,,,,,,3,,3,,3,,3,,0
2,1097-001,2,1,22,,,,3,,,,,,3,,3,,3,,3,,0
3,1097-001,3,2,,,,,,,,,,,,,,,,,,,
4,1097-001,4,2,,,,,,,,,,,,,,,,,,,
5,1097-001,5,2,,,,,,,,,,,,,,,,,,,
6,1097-001,6,2,,,,,,,,,,,,,,,,,,,
1,1098-001,1,1,22,,,,3,,,,,,3,,3,,3,,3,,0
2,1098-001,2,1,22,,,,3,,,,,,3,,3,,3,,3,,0
3,1098-001,3,2,,,,,,,,,,,,,,,,,,,
4,1098-001,4,2,,,,,,,,,,,,,,,,,,,
5,1098-001,5,1,,,,,,,,,,,,,,,,,,,
6,1098-001,6,2,,,,,,,,,,,,,,,,,,,
1,1099-001,1,1,22,,,,3,,,,,,3,,1,2,1,4,3,,1350
2,1099-001,2,1,22,,,,3,,,,,,3,,1,2,1,4,3,,1350
3,1099-001,3,2,,,,,,,,,,,,,,,,,,,
4,1099-001,4,2,,,,,,,,,,,,,,,,,,,
5,1099-001,5,1,,,,,,,,,,,,,,,,,,,
6,1099-001,6,2,,,,,,,,,,,,,,,,,,,
1,1100-001,1,2,,,,,,,,,,,,,,,,,,,
2,1100-001,2,1,4,,,,1,4,4,,,,3,,1,2,3,,3,,0
3,1100-001,3,2,,,,,,,,,,,,,,,,,,,
4,1100-001,4,2,,,,,,,,,,,,,,,,,,,
5,1100-001,5,2,,,,,,,,,,,,,,,,,,,
6,1100-001,6,2,,,,,,,,,,,,,,,,,,,
1,1101-001,1,1,22,,,,3,,,,,,1,4,1,2,1,4,3,,10000
2,1101-001,2,1,22,,,,3,,,,,,1,4,1,2,1,4,3,,10000
3,1101-001,3,2,,,,,,,,,,,,,,,,,,,
4,1101-001,4,1,22,,,,3,,,,,,3,,,,,,3,,0
5,1101-001,5,2,,,,,,,,,,,,,,,,,,,
6,1101-001,6,2,,,,,,,,,,,,,,,,,,,
1,1102-001,1,1,22,,,,3,,,,,,3,,3,,3,,3,,0
2,1102-001,2,1,22,,,,3,,,,,,3,,3,,3,,3,,0
3,1102-001,3,2,,,,,,,,,,,,,,,,,,,
4,1102-001,4,2,,,,,,,,,,,,,,,,,,,
5,1102-001,5,1,,,,,,,,,,,,,,,,,,,
6,1102-001,6,1,22,,,,3,,,,,,,,,,,,,,
1,1114-001,,,,,,,,,,,,,,,,,,,,,
1,1115-001,,,,,,,,,,,,,,,,,,,,,
1,1116-001,,,,,,,,,,,,,,,,,,,,,
1,1118-001,,,,,,,,,,,,,,,,,,,,,
1,1119-001,,,,,,,,,,,,,,,,,,,,,
1,1120-001,,,,,,,,,,,,,,,,,,,,,
1,1121-001,,,,,,,,,,,,,,,,,,,,,
1,1122-001,,,,,,,,,,,,,,,,,,,,,
1,1133-001,,,,,,,,,,,,,,,,,,,,,
1,1134-001,1,2,,,,,,,,,,,,,,,,,,,
2,1134-001,2,2,,,,,,,,,,,,,,,,,,,
3,1134-001,3,2,,,,,,,,,,,,,,,,,,,
4,1134-001,4,1,22,,,,3,,,,,,3,,,,,,3,,0
5,1134-001,5,2,,,,,,,,,,,,,,,,,,,
6,1134-001,6,2,,,,,,,,,,,,,,,,,,,
1,1135-001,,,,,,,,,,,,,,,,,,,,,
1,1136-001,,,,,,,,,,,,,,,,,,,,,
1,1137-001,,,,,,,,,,,,,,,,,,,,,
1,1139-001,,,,,,,,,,,,,,,,,,,,,
1,1140-001,,,,,,,,,,,,,,,,,,,,,
1,1142-001,,,,,,,,,,,,,,,,,,,,,
1,1152-001,,,,,,,,,,,,,,,,,,,,,
1,1153-001,,,,,,,,,,,,,,,,,,,,,
1,1154-001,,,,,,,,,,,,,,,,,,,,,
1,1155-001,,,,,,,,,,,,,,,,,,,,,
1,1156-001,,,,,,,,,,,,,,,,,,,,,
1,1158-001,,,,,,,,,,,,,,,,,,,,,
1,1159-001,,,,,,,,,,,,,,,,,,,,,
1,1162-001,,,,,,,,,,,,,,,,,,,,,
1,1171-001,,,,,,,,,,,,,,,,,,,,,
1,1172-001,,,,,,,,,,,,,,,,,,,,,
1,1173-001,,,,,,,,,,,,,,,,,,,,,
1,1174-001,,,,,,,,,,,,,,,,,,,,,
1,1175-001,,,,,,,,,,,,,,,,,,,,,
1,1176-001,,,,,,,,,,,,,,,,,,,,,
1,1177-001,,,,,,,,,,,,,,,,,,,,,
1,1179-001,,,,,,,,,,,,,,,,,,,,,
1,1191-001,,,,,,,,,,,,,,,,,,,,,
1,1192-001,,,,,,,,,,,,,,,,,,,,,
1,1193-001,,,,,,,,,,,,,,,,,,,,,
1,1194-001,,,,,,,,,,,,,,,,,,,,,
1,1195-001,,,,,,,,,,,,,,,,,,,,,
1,1196-001,1,2,,,,,,,,,,,,,,,,,,,
2,1196-001,2,2,,,,,,,,,,,,,,,,,,,
3,1196-001,3,2,,,,,,,,,,,,,,,,,,,
4,1196-001,4,1,22,,,,3,,,,,,3,,,,,,3,,0
5,1196-001,5,2,,,,,,,,,,,,,,,,,,,
6,1196-001,6,2,,,,,,,,,,,,,,,,,,,
1,1198-001,,,,,,,,,,,,,,,,,,,,,
1,1201-001,,,,,,,,,,,,,,,,,,,,,
1,1209-001,,,,,,,,,,,,,,,,,,,,,
1,1210-001,,,,,,,,,,,,,,,,,,,,,
1,1211-001,,,,,,,,,,,,,,,,,,,,,
1,1212-001,,,,,,,,,,,,,,,,,,,,,
1,1213-001,1,2,,,,,,,,,,,,,,,,,,,
2,1213-001,2,2,,,,,,,,,,,,,,,,,,,
3,1213-001,3,2,,,,,,,,,,,,,,,,,,,
4,1213-001,4,1,10,,,,3,,,,,,3,,,,,,2,4,0
5,1213-001,5,2,,,,,,,,,,,,,,,,,,,
6,1213-001,6,2,,,,,,,,,,,,,,,,,,,
1,1214-001,,,,,,,,,,,,,,,,,,,,,
1,1215-001,,,,,,,,,,,,,,,,,,,,,
1,1217-001,,,,,,,,,,,,,,,,,,,,,
1,1229-001,,,,,,,,,,,,,,,,,,,,,
1,1230-001,1,2,,,,,,,,,,,,,,,,,,,
2,1230-001,2,2,,,,,,,,,,,,,,,,,,,
3,1230-001,3,2,,,,,,,,,,,,,,,,,,,
4,1230-001,4,1,10,,,,3,,,,,,3,,,,,,3,,2000
5,1230-001,5,2,,,,,,,,,,,,,,,,,,,
6,1230-001,6,2,,,,,,,,,,,,,,,,,,,
1,1231-001,,,,,,,,,,,,,,,,,,,,,
1,1232-001,,,,,,,,,,,,,,,,,,,,,
1,1233-001,1,2,,,,,,,,,,,,,,,,,,,
2,1233-001,2,1,23,,,,1,1,14,,,,1,1,3,,1,1,1,2,800000
3,1233-001,3,2,,,,,,,,,,,,,,,,,,,
4,1233-001,4,1,11,,,,1,4,10,12,,,3,,,,,,1,2,100000
5,1233-001,5,2,,,,,,,,,,,,,,,,,,,
6,1233-001,6,2,,,,,,,,,,,,,,,,,,,
1,1235-001,,,,,,,,,,,,,,,,,,,,,
1,1236-001,,,,,,,,,,,,,,,,,,,,,
1,1239-001,,,,,,,,,,,,,,,,,,,,,
1,1247-001,,,,,,,,,,,,,,,,,,,,,
1,1248-001,,,,,,,,,,,,,,,,,,,,,
1,1249-001,,,,,,,,,,,,,,,,,,,,,
1,1250-001,,,,,,,,,,,,,,,,,,,,,
1,1252-001,,,,,,,,,,,,,,,,,,,,,
1,1253-001,,,,,,,,,,,,,,,,,,,,,
1,1254-001,,,,,,,,,,,,,,,,,,,,,
1,1257-001,,,,,,,,,,,,,,,,,,,,,
1,1266-001,1,2,,,,,,,,,,,,,,,,,,,
2,1266-001,2,2,,,,,,,,,,,,,,,,,,,
3,1266-001,3,2,,,,,,,,,,,,,,,,,,,
4,1266-001,4,1,22,,,,3,,,,,,3,,,,,,3,,0
5,1266-001,5,2,,,,,,,,,,,,,,,,,,,
6,1266-001,6,2,,,,,,,,,,,,,,,,,,,
1,1267-001,,,,,,,,,,,,,,,,,,,,,
1,1268-001,,,,,,,,,,,,,,,,,,,,,
1,1269-001,,,,,,,,,,,,,,,,,,,,,
1,1270-001,,,,,,,,,,,,,,,,,,,,,
1,1271-001,,,,,,,,,,,,,,,,,,,,,
1,1272-001,,,,,,,,,,,,,,,,,,,,,
1,1273-001,,,,,,,,,,,,,,,,,,,,,
1,1285-001,,,,,,,,,,,,,,,,,,,,,
1,1286-001,,,,,,,,,,,,,,,,,,,,,
1,1287-001,,,,,,,,,,,,,,,,,,,,,
1,1289-001,1,2,,,,,,,,,,,,,,,,,,,
2,1289-001,2,2,,,,,,,,,,,,,,,,,,,
3,1289-001,3,2,,,,,,,,,,,,,,,,,,,
4,1289-001,4,1,23,,,,3,,,,,,2,4,,,,,3,,12000
5,1289-001,5,2,,,,,,,,,,,,,,,,,,,
6,1289-001,6,2,,,,,,,,,,,,,,,,,,,
1,1290-001,,,,,,,,,,,,,,,,,,,,,
1,1291-001,,,,,,,,,,,,,,,,,,,,,
1,1292-001,,,,,,,,,,,,,,,,,,,,,
1,1294-001,,,,,,,,,,,,,,,,,,,,,
1,1304-001,,,,,,,,,,,,,,,,,,,,,
1,1305-001,,,,,,,,,,,,,,,,,,,,,
1,1306-001,,,,,,,,,,,,,,,,,,,,,
1,1307-001,,,,,,,,,,,,,,,,,,,,,
1,1308-001,1,2,,,,,,,,,,,,,,,,,,,
2,1308-001,2,2,,,,,,,,,,,,,,,,,,,
3,1308-001,3,2,,,,,,,,,,,,,,,,,,,
4,1308-001,4,1,10,,,,1,4,10,,,,1,4,,,,,1,4,38000
5,1308-001,5,2,,,,,,,,,,,,,,,,,,,
6,1308-001,6,2,,,,,,,,,,,,,,,,,,,
1,1309-001,,,,,,,,,,,,,,,,,,,,,
1,1312-001,,,,,,,,,,,,,,,,,,,,,
1,1314-001,,,,,,,,,,,,,,,,,,,,,
1,1323-001,1,2,,,,,,,,,,,,,,,,,,,
2,1323-001,2,2,,,,,,,,,,,,,,,,,,,
3,1323-001,3,2,,,,,,,,,,,,,,,,,,,
4,1323-001,4,1,10,,,,2,4,10,,,,3,,,,,,2,4,9000
5,1323-001,5,2,,,,,,,,,,,,,,,,,,,
6,1323-001,6,2,,,,,,,,,,,,,,,,,,,
1,1325-001,1,2,,,,,,,,,,,,,,,,,,,
2,1325-001,2,1,22,,,,1,1,4,,,,1,1,3,,3,,3,,15000
3,1325-001,3,2,,,,,,,,,,,,,,,,,,,
4,1325-001,4,1,10,,,,3,,,,,,3,,,,,,3,,0
5,1325-001,5,2,,,,,,,,,,,,,,,,,,,
6,1325-001,6,2,,,,,,,,,,,,,,,,,,,
1,1327-001,,,,,,,,,,,,,,,,,,,,,
1,1328-001,,,,,,,,,,,,,,,,,,,,,
1,1329-001,1,2,,,,,,,,,,,,,,,,,,,
2,1329-001,2,2,,,,,,,,,,,,,,,,,,,
3,1329-001,3,2,,,,,,,,,,,,,,,,,,,
4,1329-001,4,1,22,,,,3,,,,,,3,,,,,,3,,0
5,1329-001,5,2,,,,,,,,,,,,,,,,,,,
6,1329-001,6,2,,,,,,,,,,,,,,,,,,,
1,1331-001,,,,,,,,,,,,,,,,,,,,,
1,1332-001,1,2,,,,,,,,,,,,,,,,,,,
2,1332-001,2,2,,,,,,,,,,,,,,,,,,,
3,1332-001,3,2,,,,,,,,,,,,,,,,,,,
4,1332-001,4,1,12,,,,1,1,12,,,,3,,,,,,1,1,12000
5,1332-001,5,2,,,,,,,,,,,,,,,,,,,
6,1332-001,6,2,,,,,,,,,,,,,,,,,,,
1,1333-001,1,2,,,,,,,,,,,,,,,,,,,
2,1333-001,2,2,,,,,,,,,,,,,,,,,,,
3,1333-001,3,2,,,,,,,,,,,,,,,,,,,
4,1333-001,4,1,10,,,,1,4,10,,,,3,,,,,,3,,15000
5,1333-001,5,2,,,,,,,,,,,,,,,,,,,
6,1333-001,6,2,,,,,,,,,,,,,,,,,,,
1,1342-001,1,2,,,,,,,,,,,,,,,,,,,
2,1342-001,2,2,,,,,,,,,,,,,,,,,,,
